"AGEYRS","ROUND","SEX","COMM","PARTICIPANT","PARTICIPATION"
15,"06","F","inland",169,0.491032068409192
15,"06","M","inland",104,0.402635530086719
15,"07","F","inland",120,0.405474773680553
15,"07","M","inland",93,0.328712329529507
15,"08","F","inland",120,0.350551085866721
15,"08","M","inland",85,0.319026319572568
15,"09","F","inland",73,0.223131233248209
15,"09","M","inland",65,0.204766866447205
15,"10","F","inland",81,0.198224341690474
15,"10","M","inland",64,0.196075818213553
15,"11","F","inland",115,0.265951679889527
15,"11","M","inland",104,0.256717583516444
15,"12","F","inland",155,0.349568799702826
15,"12","M","inland",156,0.377218427990069
15,"13","F","inland",181,0.37588747306573
15,"13","M","inland",146,0.402749907824907
15,"14","F","inland",180,0.410767581662624
15,"14","M","inland",161,0.444857061313533
15,"15","F","fishing",15,0.502442515775611
15,"15","F","inland",245,0.424104365102825
15,"15","M","fishing",14,0.334493073936031
15,"15","M","inland",248,0.505441571762529
15,"15S","F","fishing",21,0.457632334852699
15,"15S","M","fishing",19,0.415478223753533
15,"16","F","fishing",14,0.222270369269633
15,"16","F","inland",301,0.436083051774237
15,"16","M","fishing",16,0.299448367098392
15,"16","M","inland",280,0.492251135240905
15,"17","F","fishing",18,0.206787699577372
15,"17","F","inland",305,0.430281510617856
15,"17","M","fishing",24,0.293499143615374
15,"17","M","inland",266,0.480135939360183
15,"18","F","fishing",25,0.326398300423283
15,"18","F","inland",326,0.451392288549134
15,"18","M","fishing",31,0.428490394498818
15,"18","M","inland",315,0.511082990924501
16,"06","F","inland",187,0.574786485226198
16,"06","M","inland",143,0.464952109854074
16,"07","F","inland",179,0.514941465146703
16,"07","M","inland",133,0.405351026356139
16,"08","F","inland",172,0.474154639394478
16,"08","M","inland",147,0.402037156366804
16,"09","F","inland",122,0.341057288202199
16,"09","M","inland",94,0.278269182153048
16,"10","F","inland",122,0.302326422431898
16,"10","M","inland",100,0.259547746479626
16,"11","F","inland",138,0.348127462241498
16,"11","M","inland",115,0.312136734237869
16,"12","F","inland",162,0.404199245068257
16,"12","M","inland",160,0.406519089706692
16,"13","F","inland",161,0.411672998675207
16,"13","M","inland",209,0.426180333554371
16,"14","F","inland",185,0.443936011155427
16,"14","M","inland",215,0.472448261372074
16,"15","F","fishing",22,0.605931818657024
16,"15","F","inland",252,0.464234929404908
16,"15","M","fishing",25,0.4873782551962
16,"15","M","inland",284,0.5261396385776
16,"15S","F","fishing",29,0.567183679831112
16,"15S","M","fishing",25,0.48314032158668
16,"16","F","fishing",16,0.412030061442567
16,"16","F","inland",282,0.468691750267787
16,"16","M","fishing",27,0.403613372187292
16,"16","M","inland",281,0.510801512285463
16,"17","F","fishing",20,0.369715044716561
16,"17","F","inland",343,0.461594835127871
16,"17","M","fishing",24,0.353899161213183
16,"17","M","inland",351,0.506219570337929
16,"18","F","fishing",24,0.432709299114659
16,"18","F","inland",322,0.47565826201886
16,"18","M","fishing",40,0.475129751517632
16,"18","M","inland",330,0.525416335599781
17,"06","F","inland",194,0.647324658263006
17,"06","M","inland",139,0.523046732386703
17,"07","F","inland",216,0.606667467322076
17,"07","M","inland",148,0.479497378112542
17,"08","F","inland",191,0.576434090159217
17,"08","M","inland",163,0.480307588298324
17,"09","F","inland",137,0.451707208241673
17,"09","M","inland",110,0.355921668445628
17,"10","F","inland",133,0.408351253072385
17,"10","M","inland",114,0.329654001886943
17,"11","F","inland",140,0.433526430280472
17,"11","M","inland",114,0.374296531032118
17,"12","F","inland",162,0.461506291597026
17,"12","M","inland",143,0.438561930490609
17,"13","F","inland",157,0.45298510904779
17,"13","M","inland",161,0.453029482023109
17,"14","F","inland",203,0.479859071027628
17,"14","M","inland",199,0.501441468158725
17,"15","F","fishing",34,0.655053548137608
17,"15","F","inland",249,0.504151308984445
17,"15","M","fishing",18,0.577750278584169
17,"15","M","inland",253,0.545859518170493
17,"15S","F","fishing",31,0.620767503132207
17,"15S","M","fishing",26,0.53049199727544
17,"16","F","fishing",31,0.50372163739112
17,"16","F","inland",273,0.502194662428608
17,"16","M","fishing",27,0.480726115454554
17,"16","M","inland",306,0.529169410126023
17,"17","F","fishing",34,0.456734013631978
17,"17","F","inland",268,0.494533608886068
17,"17","M","fishing",28,0.400600114850575
17,"17","M","inland",288,0.532175857582026
17,"18","F","fishing",40,0.491855707635025
17,"18","F","inland",311,0.500909340470709
17,"18","M","fishing",48,0.509712624202299
17,"18","M","inland",322,0.539809933546773
18,"06","F","inland",249,0.708309127857113
18,"06","M","inland",174,0.57494433890126
18,"07","F","inland",252,0.681264509368047
18,"07","M","inland",176,0.547481712298755
18,"08","F","inland",279,0.658612604060596
18,"08","M","inland",207,0.550463744658689
18,"09","F","inland",185,0.551270556640939
18,"09","M","inland",148,0.433746466400957
18,"10","F","inland",158,0.511180083608599
18,"10","M","inland",134,0.403279232508137
18,"11","F","inland",172,0.518877243202036
18,"11","M","inland",142,0.441341236276412
18,"12","F","inland",188,0.519666901531646
18,"12","M","inland",166,0.472147837611394
18,"13","F","inland",203,0.499421329196639
18,"13","M","inland",146,0.483072339936616
18,"14","F","inland",195,0.517528803827605
18,"14","M","inland",191,0.530375487324674
18,"15","F","fishing",61,0.685091350282662
18,"15","F","inland",306,0.542913511861694
18,"15","M","fishing",39,0.632134388499198
18,"15","M","inland",275,0.563390641955814
18,"15S","F","fishing",49,0.65116419761038
18,"15S","M","fishing",37,0.565598796557757
18,"16","F","fishing",44,0.555660236049934
18,"16","F","inland",320,0.536010145675629
18,"16","M","fishing",48,0.535010246554921
18,"16","M","inland",289,0.546478680738146
18,"17","F","fishing",64,0.510301802017112
18,"17","F","inland",342,0.528659771470032
18,"17","M","fishing",42,0.434111028961148
18,"17","M","inland",298,0.557109641298628
18,"18","F","fishing",67,0.528867384259313
18,"18","F","inland",365,0.526843637174134
18,"18","M","fishing",50,0.533174762303584
18,"18","M","inland",309,0.553725213593584
19,"06","F","inland",276,0.759539981427107
19,"06","M","inland",179,0.620901604084051
19,"07","F","inland",265,0.742552957052853
19,"07","M","inland",132,0.608622191922626
19,"08","F","inland",272,0.725072769250751
19,"08","M","inland",176,0.61213598902519
19,"09","F","inland",208,0.639555288904603
19,"09","M","inland",148,0.509713320114788
19,"10","F","inland",193,0.607681755048519
19,"10","M","inland",134,0.478839855409447
19,"11","F","inland",174,0.601357388320571
19,"11","M","inland",132,0.511814421755187
19,"12","F","inland",173,0.576973414772163
19,"12","M","inland",155,0.506677546618441
19,"13","F","inland",149,0.549942294995432
19,"13","M","inland",137,0.515853253791615
19,"14","F","inland",208,0.556697195075014
19,"14","M","inland",168,0.5588781704637
19,"15","F","fishing",68,0.70592192272736
19,"15","F","inland",278,0.580402568582676
19,"15","M","fishing",49,0.664482823295747
19,"15","M","inland",275,0.578887876899862
19,"15S","F","fishing",74,0.670288799151652
19,"15S","M","fishing",52,0.591354465737052
19,"16","F","fishing",63,0.588934014790511
19,"16","F","inland",278,0.56972228384222
19,"16","M","fishing",35,0.571844027892581
19,"16","M","inland",249,0.56256453339502
19,"17","F","fishing",59,0.546548349927292
19,"17","F","inland",296,0.563531511297927
19,"17","M","fishing",44,0.458501483570806
19,"17","M","inland",288,0.580721851095311
19,"18","F","fishing",64,0.554739709437227
19,"18","F","inland",311,0.55347714578021
19,"18","M","fishing",54,0.548719483789196
19,"18","M","inland",239,0.567082230614335
20,"06","F","inland",309,0.799312690478657
20,"06","M","inland",197,0.657446013072115
20,"07","F","inland",341,0.788808036989674
20,"07","M","inland",208,0.65708817828324
20,"08","F","inland",292,0.774807260181196
20,"08","M","inland",157,0.659911919012676
20,"09","F","inland",212,0.711180880755468
20,"09","M","inland",130,0.575338105217837
20,"10","F","inland",214,0.68923197952699
20,"10","M","inland",122,0.547343277290357
20,"11","F","inland",207,0.675427892319662
20,"11","M","inland",151,0.579545181348436
20,"12","F","inland",207,0.630118166493831
20,"12","M","inland",124,0.538741824958704
20,"13","F","inland",157,0.60192559757219
20,"13","M","inland",125,0.547840242965256
20,"14","F","inland",189,0.595236254098047
20,"14","M","inland",143,0.582921886568407
20,"15","F","fishing",67,0.721697245380169
20,"15","F","inland",311,0.615378466064211
20,"15","M","fishing",69,0.682398157546333
20,"15","M","inland",243,0.590343868833987
20,"15S","F","fishing",92,0.682736663659619
20,"15S","M","fishing",61,0.611049618051904
20,"16","F","fishing",77,0.610677838799474
20,"16","F","inland",293,0.602732577355799
20,"16","M","fishing",66,0.593419186834945
20,"16","M","inland",236,0.575961083318665
20,"17","F","fishing",71,0.571842161289467
20,"17","F","inland",311,0.59815005416406
20,"17","M","fishing",43,0.474027379021956
20,"17","M","inland",288,0.601421964353966
20,"18","F","fishing",86,0.573600858450868
20,"18","F","inland",299,0.580358030249044
20,"18","M","fishing",68,0.556441641692598
20,"18","M","inland",263,0.579008735651059
21,"06","F","inland",202,0.829524930554883
21,"06","M","inland",117,0.685581588232223
21,"07","F","inland",262,0.823345634245993
21,"07","M","inland",171,0.69380029526668
21,"08","F","inland",334,0.811356450353953
21,"08","M","inland",195,0.69550390573554
21,"09","F","inland",206,0.767395494507993
21,"09","M","inland",109,0.628459720172137
21,"10","F","inland",190,0.754455363518279
21,"10","M","inland",125,0.605382202564059
21,"11","F","inland",207,0.738661092784145
21,"11","M","inland",125,0.640238116485278
21,"12","F","inland",186,0.677462350310491
21,"12","M","inland",125,0.567051881248889
21,"13","F","inland",159,0.652757548807942
21,"13","M","inland",110,0.578319519339794
21,"14","F","inland",160,0.632342994175217
21,"14","M","inland",134,0.602556435133952
21,"15","F","fishing",60,0.73440057240224
21,"15","F","inland",276,0.647505773441757
21,"15","M","fishing",53,0.690707295951954
21,"15","M","inland",180,0.598336025964086
21,"15S","F","fishing",65,0.690951341760329
21,"15S","M","fishing",65,0.625486284701899
21,"16","F","fishing",74,0.625946517825161
21,"16","F","inland",290,0.634076476701616
21,"16","M","fishing",54,0.60479772605771
21,"16","M","inland",217,0.58649925334666
21,"17","F","fishing",89,0.5906645590011
21,"17","F","inland",271,0.631852193732579
21,"17","M","fishing",66,0.484562194098957
21,"17","M","inland",223,0.618809546073718
21,"18","F","fishing",74,0.588394306502113
21,"18","F","inland",292,0.607165322961757
21,"18","M","fishing",59,0.559688580062913
21,"18","M","inland",250,0.589426776601391
22,"06","F","inland",247,0.843779903709704
22,"06","M","inland",158,0.697484517859521
22,"07","F","inland",233,0.837355489559434
22,"07","M","inland",152,0.707485481146483
22,"08","F","inland",297,0.826208891062697
22,"08","M","inland",212,0.706819622672125
22,"09","F","inland",251,0.795200248931482
22,"09","M","inland",146,0.64771239029922
22,"10","F","inland",217,0.786013176430939
22,"10","M","inland",115,0.630018952171077
22,"11","F","inland",219,0.779950941846264
22,"11","M","inland",135,0.678314602346153
22,"12","F","inland",214,0.712809050609792
22,"12","M","inland",133,0.584244693475845
22,"13","F","inland",171,0.693754051348098
22,"13","M","inland",114,0.603777894290627
22,"14","F","inland",181,0.662395496282489
22,"14","M","inland",130,0.609903016286962
22,"15","F","fishing",68,0.746156006334849
22,"15","F","inland",264,0.674284292080657
22,"15","M","fishing",65,0.690902123576773
22,"15","M","inland",211,0.597658391019143
22,"15S","F","fishing",65,0.695818946974838
22,"15S","M","fishing",62,0.639611965946619
22,"16","F","fishing",74,0.633615813618243
22,"16","F","inland",299,0.661985849874862
22,"16","M","fishing",80,0.606810851688152
22,"16","M","inland",220,0.590850077351345
22,"17","F","fishing",95,0.60480064049784
22,"17","F","inland",305,0.662698414341797
22,"17","M","fishing",67,0.48639255194362
22,"17","M","inland",231,0.630364633336405
22,"18","F","fishing",98,0.597510439385689
22,"18","F","inland",244,0.631475525444407
22,"18","M","fishing",71,0.555224155906713
22,"18","M","inland",232,0.596776204545482
23,"06","F","inland",246,0.84904229563706
23,"06","M","inland",140,0.700726172425973
23,"07","F","inland",249,0.84082575731984
23,"07","M","inland",178,0.708572189811103
23,"08","F","inland",267,0.829137027976816
23,"08","M","inland",194,0.70597699101618
23,"09","F","inland",218,0.80588472792416
23,"09","M","inland",162,0.647770967482025
23,"10","F","inland",250,0.79698359034459
23,"10","M","inland",127,0.633107482798743
23,"11","F","inland",225,0.804739166638476
23,"11","M","inland",128,0.697112049154491
23,"12","F","inland",224,0.738324326782403
23,"12","M","inland",121,0.593357439188127
23,"13","F","inland",184,0.725919414712008
23,"13","M","inland",125,0.623211326668618
23,"14","F","inland",185,0.687417418964435
23,"14","M","inland",145,0.610089585602798
23,"15","F","fishing",99,0.757148515273682
23,"15","F","inland",283,0.696564509466707
23,"15","M","fishing",65,0.686489712487833
23,"15","M","inland",211,0.592976933599104
23,"15S","F","fishing",89,0.698147949454113
23,"15S","M","fishing",64,0.650054399611452
23,"16","F","fishing",83,0.638801885861598
23,"16","F","inland",283,0.685388577146119
23,"16","M","fishing",62,0.604313185694063
23,"16","M","inland",182,0.590580282906035
23,"17","F","fishing",100,0.616296238705552
23,"17","F","inland",315,0.690184767972527
23,"17","M","fishing",65,0.486807592162713
23,"17","M","inland",218,0.636300688609122
23,"18","F","fishing",90,0.605223077650123
23,"18","F","inland",280,0.654205818729735
23,"18","M","fishing",87,0.54964998813389
23,"18","M","inland",207,0.601206300615549
24,"06","F","inland",243,0.854691296477677
24,"06","M","inland",155,0.707353201024074
24,"07","F","inland",237,0.849051192441565
24,"07","M","inland",146,0.712433842821788
24,"08","F","inland",246,0.831861989209806
24,"08","M","inland",180,0.710976330591414
24,"09","F","inland",185,0.814100840567151
24,"09","M","inland",136,0.652951409065938
24,"10","F","inland",210,0.806591528097778
24,"10","M","inland",151,0.634922176791842
24,"11","F","inland",221,0.820211286604366
24,"11","M","inland",147,0.699883756736403
24,"12","F","inland",232,0.756606959464401
24,"12","M","inland",143,0.599057595012294
24,"13","F","inland",214,0.753070053189628
24,"13","M","inland",124,0.634480998494463
24,"14","F","inland",191,0.709883683297816
24,"14","M","inland",131,0.612127914416003
24,"15","F","fishing",68,0.765568276375384
24,"15","F","inland",278,0.711948630864076
24,"15","M","fishing",85,0.675356283043697
24,"15","M","inland",188,0.591815253295589
24,"15S","F","fishing",78,0.695488887485457
24,"15S","M","fishing",75,0.65175114810879
24,"16","F","fishing",76,0.647688224149308
24,"16","F","inland",272,0.697318912487036
24,"16","M","fishing",77,0.599787348859866
24,"16","M","inland",202,0.586572983339851
24,"17","F","fishing",81,0.626485848664432
24,"17","F","inland",279,0.71119665903236
24,"17","M","fishing",78,0.495345344281124
24,"17","M","inland",211,0.633297053834645
24,"18","F","fishing",88,0.617967646951462
24,"18","F","inland",299,0.675418037765764
24,"18","M","fishing",80,0.549128380038212
24,"18","M","inland",204,0.600661498031729
25,"06","F","inland",216,0.853583303587256
25,"06","M","inland",170,0.708904097263247
25,"07","F","inland",253,0.851487471619589
25,"07","M","inland",177,0.708207101695564
25,"08","F","inland",241,0.825348537837366
25,"08","M","inland",179,0.70949003390767
25,"09","F","inland",202,0.808336565209235
25,"09","M","inland",136,0.647075876762582
25,"10","F","inland",214,0.801096533255272
25,"10","M","inland",114,0.621097138258505
25,"11","F","inland",241,0.820607076995247
25,"11","M","inland",145,0.681417587954462
25,"12","F","inland",214,0.764641813906685
25,"12","M","inland",118,0.596061123878076
25,"13","F","inland",215,0.769918086367772
25,"13","M","inland",130,0.63370837201318
25,"14","F","inland",219,0.725170266381558
25,"14","M","inland",142,0.60883226137373
25,"15","F","fishing",104,0.7723819746708
25,"15","F","inland",288,0.71921812947281
25,"15","M","fishing",121,0.660120105145943
25,"15","M","inland",223,0.588816581332399
25,"15S","F","fishing",95,0.68955899393411
25,"15S","M","fishing",119,0.64900303546284
25,"16","F","fishing",82,0.656601289068868
25,"16","F","inland",250,0.698978286182192
25,"16","M","fishing",68,0.591695725783098
25,"16","M","inland",209,0.577301143718543
25,"17","F","fishing",88,0.634677237843494
25,"17","F","inland",308,0.724539686497092
25,"17","M","fishing",86,0.504548849715077
25,"17","M","inland",232,0.621005077242414
25,"18","F","fishing",93,0.632639098369326
25,"18","F","inland",260,0.692582512995517
25,"18","M","fishing",99,0.549364736404469
25,"18","M","inland",198,0.594594539055888
26,"06","F","inland",227,0.851935510688312
26,"06","M","inland",148,0.70871401346781
26,"07","F","inland",221,0.852685610198752
26,"07","M","inland",161,0.704114005882093
26,"08","F","inland",264,0.821058325324517
26,"08","M","inland",180,0.707425950143785
26,"09","F","inland",185,0.80502105645031
26,"09","M","inland",117,0.641757515979082
26,"10","F","inland",176,0.797394836555872
26,"10","M","inland",128,0.611650731361164
26,"11","F","inland",234,0.823269905856586
26,"11","M","inland",151,0.667120691820506
26,"12","F","inland",212,0.773588262748382
26,"12","M","inland",148,0.592435504799525
26,"13","F","inland",196,0.784458449890882
26,"13","M","inland",143,0.6305997484674
26,"14","F","inland",220,0.740547431316568
26,"14","M","inland",150,0.606683820472024
26,"15","F","fishing",87,0.778900390786402
26,"15","F","inland",285,0.727523187545508
26,"15","M","fishing",80,0.650429580829047
26,"15","M","inland",190,0.586412694583762
26,"15S","F","fishing",74,0.687613013942904
26,"15S","M","fishing",124,0.644102560733716
26,"16","F","fishing",96,0.664929373110194
26,"16","F","inland",273,0.703664762671344
26,"16","M","fishing",109,0.584086170621751
26,"16","M","inland",181,0.569735968281314
26,"17","F","fishing",111,0.641975895906594
26,"17","F","inland",270,0.737521368977926
26,"17","M","fishing",72,0.511295778543756
26,"17","M","inland",221,0.610920498788172
26,"18","F","fishing",86,0.646075999743912
26,"18","F","inland",250,0.708055897922331
26,"18","M","fishing",88,0.55253869213988
26,"18","M","inland",192,0.590705820431668
27,"06","F","inland",178,0.845705205856547
27,"06","M","inland",157,0.700415428956249
27,"07","F","inland",222,0.849657787284672
27,"07","M","inland",162,0.698948312657611
27,"08","F","inland",220,0.82310764431645
27,"08","M","inland",177,0.700246739798323
27,"09","F","inland",189,0.807506617462745
27,"09","M","inland",139,0.631236494168344
27,"10","F","inland",181,0.79534875813117
27,"10","M","inland",112,0.605055212290703
27,"11","F","inland",180,0.830466153431596
27,"11","M","inland",132,0.651511058842041
27,"12","F","inland",252,0.785227221717063
27,"12","M","inland",161,0.581459687678798
27,"13","F","inland",167,0.79588436021059
27,"13","M","inland",107,0.615921398787569
27,"14","F","inland",219,0.760691459564328
27,"14","M","inland",131,0.605196582817115
27,"15","F","fishing",99,0.782901649260543
27,"15","F","inland",296,0.737425376547611
27,"15","M","fishing",87,0.642854287781249
27,"15","M","inland",222,0.58224200104029
27,"15S","F","fishing",72,0.690918713628742
27,"15S","M","fishing",101,0.630081965335364
27,"16","F","fishing",86,0.672935854548338
27,"16","F","inland",263,0.711822026161153
27,"16","M","fishing",114,0.570834532411261
27,"16","M","inland",208,0.561048895568476
27,"17","F","fishing",80,0.647661248037911
27,"17","F","inland",258,0.748808280460715
27,"17","M","fishing",76,0.51593990748692
27,"17","M","inland",196,0.60032684473102
27,"18","F","fishing",101,0.658845870269955
27,"18","F","inland",271,0.716595833926634
27,"18","M","fishing",101,0.56108770870069
27,"18","M","inland",184,0.59182103857104
28,"06","F","inland",176,0.837685444585836
28,"06","M","inland",119,0.690646858410286
28,"07","F","inland",191,0.845076644398644
28,"07","M","inland",173,0.693413751571405
28,"08","F","inland",224,0.826405087161487
28,"08","M","inland",168,0.6932463679837
28,"09","F","inland",167,0.810133925302854
28,"09","M","inland",133,0.620113710725798
28,"10","F","inland",183,0.792468125619333
28,"10","M","inland",123,0.599337408571592
28,"11","F","inland",213,0.837120800548084
28,"11","M","inland",132,0.637550870059485
28,"12","F","inland",216,0.796787328825149
28,"12","M","inland",129,0.571923646976735
28,"13","F","inland",220,0.805172344067347
28,"13","M","inland",138,0.601876967950494
28,"14","F","inland",221,0.779895178806474
28,"14","M","inland",143,0.604564050798078
28,"15","F","fishing",93,0.787809381833146
28,"15","F","inland",323,0.748114899174211
28,"15","M","fishing",103,0.638463384846497
28,"15","M","inland",194,0.580412776532256
28,"15S","F","fishing",110,0.696430281082455
28,"15S","M","fishing",109,0.617956848246922
28,"16","F","fishing",92,0.682465842490886
28,"16","F","inland",274,0.72113289561013
28,"16","M","fishing",72,0.561029241673648
28,"16","M","inland",201,0.555077857541908
28,"17","F","fishing",96,0.654217320789538
28,"17","F","inland",285,0.75844938014701
28,"17","M","fishing",135,0.521628291536801
28,"17","M","inland",185,0.591434439276961
28,"18","F","fishing",105,0.671353259743034
28,"18","F","inland",260,0.724103808464766
28,"18","M","fishing",95,0.570788545646256
28,"18","M","inland",200,0.59442098166866
29,"06","F","inland",159,0.837310099261754
29,"06","M","inland",129,0.687141229514808
29,"07","F","inland",177,0.844682459076354
29,"07","M","inland",124,0.690942105465309
29,"08","F","inland",181,0.834805059118964
29,"08","M","inland",189,0.698005102705269
29,"09","F","inland",160,0.818907232262909
29,"09","M","inland",113,0.622742023596282
29,"10","F","inland",169,0.797863169161646
29,"10","M","inland",139,0.603049278288761
29,"11","F","inland",194,0.850818384000887
29,"11","M","inland",147,0.637943384504964
29,"12","F","inland",203,0.816041301637063
29,"12","M","inland",119,0.575858315907471
29,"13","F","inland",253,0.819897403744479
29,"13","M","inland",146,0.602647145633993
29,"14","F","inland",196,0.800474192195021
29,"14","M","inland",135,0.610042479040629
29,"15","F","fishing",77,0.803327161588716
29,"15","F","inland",283,0.768381152771001
29,"15","M","fishing",75,0.646831509435619
29,"15","M","inland",195,0.589401557226852
29,"15S","F","fishing",77,0.710717353738702
29,"15S","M","fishing",85,0.615543807357583
29,"16","F","fishing",88,0.696213575870681
29,"16","F","inland",283,0.740974539797485
29,"16","M","fishing",106,0.563568855020354
29,"16","M","inland",186,0.559499884145682
29,"17","F","fishing",109,0.664913553274062
29,"17","F","inland",307,0.772922328799317
29,"17","M","fishing",100,0.530415603681994
29,"17","M","inland",196,0.591242567602999
29,"18","F","fishing",91,0.682094129623609
29,"18","F","inland",247,0.741573120772799
29,"18","M","fishing",87,0.583340273028153
29,"18","M","inland",185,0.601907902249867
30,"06","F","inland",160,0.837639541499814
30,"06","M","inland",154,0.683742333028214
30,"07","F","inland",184,0.843325253811586
30,"07","M","inland",159,0.688275770293572
30,"08","F","inland",168,0.843902187604551
30,"08","M","inland",143,0.704147948691492
30,"09","F","inland",151,0.828114220001982
30,"09","M","inland",131,0.626877718948989
30,"10","F","inland",154,0.804360002889862
30,"10","M","inland",109,0.608467395755342
30,"11","F","inland",196,0.864628983760612
30,"11","M","inland",127,0.640419680123517
30,"12","F","inland",174,0.835746025203483
30,"12","M","inland",114,0.581622351715172
30,"13","F","inland",183,0.833833868773389
30,"13","M","inland",117,0.606055891241745
30,"14","F","inland",244,0.820212998425887
30,"14","M","inland",170,0.61650764436351
30,"15","F","fishing",101,0.819686082069714
30,"15","F","inland",265,0.789437412901757
30,"15","M","fishing",111,0.657375796717614
30,"15","M","inland",184,0.599597024881491
30,"15S","F","fishing",104,0.726717917122229
30,"15S","M","fishing",117,0.613514638001096
30,"16","F","fishing",96,0.710812521769446
30,"16","F","inland",280,0.762479456243375
30,"16","M","fishing",88,0.567678187289082
30,"16","M","inland",190,0.566411773212841
30,"17","F","fishing",85,0.676858968039775
30,"17","F","inland",261,0.786724504299007
30,"17","M","fishing",76,0.539767666874412
30,"17","M","inland",191,0.593708563488209
30,"18","F","fishing",111,0.691967896490679
30,"18","F","inland",275,0.758767469185129
30,"18","M","fishing",148,0.595803606054109
30,"18","M","inland",183,0.609314071063633
31,"06","F","inland",106,0.839432307638867
31,"06","M","inland",108,0.683820492388405
31,"07","F","inland",111,0.839143157927801
31,"07","M","inland",136,0.685394966236835
31,"08","F","inland",157,0.844494503369092
31,"08","M","inland",147,0.707905477847073
31,"09","F","inland",131,0.832288376036061
31,"09","M","inland",92,0.628456709143429
31,"10","F","inland",137,0.811150807566776
31,"10","M","inland",130,0.616404552487638
31,"11","F","inland",157,0.873237731600865
31,"11","M","inland",131,0.64628603215341
31,"12","F","inland",184,0.848102614025415
31,"12","M","inland",143,0.589152377914441
31,"13","F","inland",207,0.843253769813169
31,"13","M","inland",115,0.615905197436566
31,"14","F","inland",235,0.830364276694619
31,"14","M","inland",150,0.619022408461246
31,"15","F","fishing",66,0.831238231789088
31,"15","F","inland",260,0.804332007100828
31,"15","M","fishing",77,0.667136954275964
31,"15","M","inland",187,0.603763013133787
31,"15S","F","fishing",51,0.739487128188147
31,"15S","M","fishing",68,0.615791564461558
31,"16","F","fishing",71,0.726053841877485
31,"16","F","inland",269,0.781029244659687
31,"16","M","fishing",91,0.574343582301035
31,"16","M","inland",176,0.575357062915428
31,"17","F","fishing",83,0.689534560448602
31,"17","F","inland",288,0.79461025307732
31,"17","M","fishing",109,0.546944465233337
31,"17","M","inland",179,0.602834429395813
31,"18","F","fishing",88,0.700838045413387
31,"18","F","inland",248,0.770384326402327
31,"18","M","fishing",101,0.6023652299053
31,"18","M","inland",203,0.608176251742016
32,"06","F","inland",110,0.841213095053479
32,"06","M","inland",111,0.685364150060655
32,"07","F","inland",108,0.833982667734221
32,"07","M","inland",118,0.683035831096067
32,"08","F","inland",127,0.843404647679589
32,"08","M","inland",147,0.71216970201648
32,"09","F","inland",116,0.83530236144828
32,"09","M","inland",109,0.630297636173431
32,"10","F","inland",122,0.818065433713039
32,"10","M","inland",89,0.625976137182183
32,"11","F","inland",161,0.879488976590184
32,"11","M","inland",123,0.655601313066223
32,"12","F","inland",184,0.858068692042506
