"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
15,"fishing","M",15,0,0,0,0,1,1,1,1,0,NA,NA
16,"fishing","M",15,16,0,0,0,1,1,1,2,0,NA,NA
17,"fishing","M",15,24,1,1,0,1,1,1,3,0,0,1
18,"fishing","M",15,32,0,0,0,1,1,1,4,0,NA,NA
15,"inland","M",15,0,0,0,0,0,1,1,5,0,NA,NA
16,"inland","M",15,282,1,0,0,0,1,1,6,1,1,0
17,"inland","M",15,271,1,0,0,0,1,1,7,1,1,0
18,"inland","M",15,317,4,4,0,0,1,1,8,0,0,1
15,"fishing","F",15,0,0,0,0,1,0,1,9,0,NA,NA
16,"fishing","F",15,14,2,1,0,1,0,1,10,1,0.5,0.5
17,"fishing","F",15,19,1,0,0,1,0,1,11,1,1,0
18,"fishing","F",15,24,0,0,0,1,0,1,12,0,NA,NA
15,"inland","F",15,1,1,0,0,0,0,1,13,1,1,0
16,"inland","F",15,302,2,2,0,0,0,1,14,0,0,1
17,"inland","F",15,308,5,1,0,0,0,1,15,4,0.8,0.2
18,"inland","F",15,329,2,0,0,0,0,1,16,2,1,0
15,"fishing","M",16,0,0,0,0,1,1,2,17,0,NA,NA
16,"fishing","M",16,18,0,0,0,1,1,2,18,0,NA,NA
17,"fishing","M",16,22,0,0,0,1,1,2,19,0,NA,NA
18,"fishing","M",16,29,0,0,0,1,1,2,20,0,NA,NA
15,"inland","M",16,0,0,0,0,0,1,2,21,0,NA,NA
16,"inland","M",16,257,0,0,0,0,1,2,22,0,NA,NA
17,"inland","M",16,253,0,0,0,0,1,2,23,0,NA,NA
18,"inland","M",16,266,1,0,0,0,1,2,24,1,1,0
15,"fishing","F",16,0,0,0,0,1,0,2,25,0,NA,NA
16,"fishing","F",16,8,1,0,0,1,0,2,26,1,1,0
17,"fishing","F",16,15,0,0,0,1,0,2,27,0,NA,NA
18,"fishing","F",16,19,1,1,0,1,0,2,28,0,0,1
15,"inland","F",16,0,0,0,0,0,0,2,29,0,NA,NA
16,"inland","F",16,261,0,0,0,0,0,2,30,0,NA,NA
17,"inland","F",16,249,3,1,0,0,0,2,31,2,0.666666666666667,0.333333333333333
18,"inland","F",16,255,4,2,0,0,0,2,32,2,0.5,0.5
15,"fishing","M",17,0,0,0,0,1,1,3,33,0,NA,NA
16,"fishing","M",17,13,0,0,0,1,1,3,34,0,NA,NA
17,"fishing","M",17,15,0,0,0,1,1,3,35,0,NA,NA
18,"fishing","M",17,32,0,0,0,1,1,3,36,0,NA,NA
15,"inland","M",17,0,0,0,0,0,1,3,37,0,NA,NA
16,"inland","M",17,153,1,1,0,0,1,3,38,0,0,1
17,"inland","M",17,121,1,1,0,0,1,3,39,0,0,1
18,"inland","M",17,131,0,0,0,0,1,3,40,0,NA,NA
15,"fishing","F",17,7,7,6,0,1,0,3,41,1,0.142857142857143,0.857142857142857
16,"fishing","F",17,15,2,1,0,1,0,3,42,1,0.5,0.5
17,"fishing","F",17,26,0,0,0,1,0,3,43,0,NA,NA
18,"fishing","F",17,26,2,2,0,1,0,3,44,0,0,1
15,"inland","F",17,1,1,1,0,0,0,3,45,0,0,1
16,"inland","F",17,158,4,2,0,0,0,3,46,2,0.5,0.5
17,"inland","F",17,122,4,1,0,0,0,3,47,3,0.75,0.25
18,"inland","F",17,172,3,0,0,0,0,3,48,3,1,0
15,"fishing","M",18,2,2,2,0,1,1,4,49,0,0,1
16,"fishing","M",18,24,0,0,0,1,1,4,50,0,NA,NA
17,"fishing","M",18,23,0,0,0,1,1,4,51,0,NA,NA
18,"fishing","M",18,32,0,0,0,1,1,4,52,0,NA,NA
15,"inland","M",18,0,0,0,0,0,1,4,53,0,NA,NA
16,"inland","M",18,148,0,0,0,0,1,4,54,0,NA,NA
17,"inland","M",18,120,1,0,0,0,1,4,55,1,1,0
18,"inland","M",18,107,2,2,0,0,1,4,56,0,0,1
15,"fishing","F",18,12,12,11,0,1,0,4,57,1,0.0833333333333333,0.916666666666667
16,"fishing","F",18,28,6,6,0,1,0,4,58,0,0,1
17,"fishing","F",18,46,7,4,0,1,0,4,59,3,0.428571428571429,0.571428571428571
18,"fishing","F",18,56,6,4,0,1,0,4,60,2,0.333333333333333,0.666666666666667
15,"inland","F",18,0,0,0,0,0,0,4,61,0,NA,NA
16,"inland","F",18,209,8,5,0,0,0,4,62,3,0.375,0.625
17,"inland","F",18,194,10,3,0,0,0,4,63,7,0.7,0.3
18,"inland","F",18,178,13,4,0,0,0,4,64,9,0.692307692307692,0.307692307692308
15,"fishing","M",19,2,2,2,0,1,1,5,65,0,0,1
16,"fishing","M",19,12,0,0,0,1,1,5,66,0,NA,NA
17,"fishing","M",19,21,1,1,0,1,1,5,67,0,0,1
18,"fishing","M",19,27,2,1,0,1,1,5,68,1,0.5,0.5
15,"inland","M",19,1,1,1,0,0,1,5,69,0,0,1
16,"inland","M",19,95,0,0,0,0,1,5,70,0,NA,NA
17,"inland","M",19,110,1,0,0,0,1,5,71,1,1,0
18,"inland","M",19,67,3,2,0,0,1,5,72,1,0.333333333333333,0.666666666666667
15,"fishing","F",19,18,18,14,0,1,0,5,73,4,0.222222222222222,0.777777777777778
16,"fishing","F",19,32,8,6,0,1,0,5,74,2,0.25,0.75
17,"fishing","F",19,31,7,3,0,1,0,5,75,4,0.571428571428571,0.428571428571429
18,"fishing","F",19,33,5,1,0,1,0,5,76,4,0.8,0.2
15,"inland","F",19,1,1,1,0,0,0,5,77,0,0,1
16,"inland","F",19,172,9,6,0,0,0,5,78,3,0.333333333333333,0.666666666666667
17,"inland","F",19,155,9,5,0,0,0,5,79,4,0.444444444444444,0.555555555555556
18,"inland","F",19,165,1,1,0,0,0,5,80,0,0,1
15,"fishing","M",20,12,12,11,0,1,1,6,81,1,0.0833333333333333,0.916666666666667
16,"fishing","M",20,27,3,3,0,1,1,6,82,0,0,1
17,"fishing","M",20,13,0,0,0,1,1,6,83,0,NA,NA
18,"fishing","M",20,35,1,1,0,1,1,6,84,0,0,1
15,"inland","M",20,2,2,2,0,0,1,6,85,0,0,1
16,"inland","M",20,107,4,2,0,0,1,6,86,2,0.5,0.5
17,"inland","M",20,108,0,0,0,0,1,6,87,0,NA,NA
18,"inland","M",20,83,1,1,0,0,1,6,88,0,0,1
15,"fishing","F",20,25,25,19,0,1,0,6,89,6,0.24,0.76
16,"fishing","F",20,28,11,10,0,1,0,6,90,1,0.0909090909090909,0.909090909090909
17,"fishing","F",20,48,8,2,0,1,0,6,91,6,0.75,0.25
18,"fishing","F",20,49,10,5,0,1,0,6,92,5,0.5,0.5
15,"inland","F",20,1,1,1,0,0,0,6,93,0,0,1
16,"inland","F",20,180,14,10,0,0,0,6,94,4,0.285714285714286,0.714285714285714
17,"inland","F",20,164,17,9,0,0,0,6,95,8,0.470588235294118,0.529411764705882
18,"inland","F",20,138,12,3,0,0,0,6,96,9,0.75,0.25
15,"fishing","M",21,7,7,7,0,1,1,7,97,0,0,1
16,"fishing","M",21,18,4,4,0,1,1,7,98,0,0,1
17,"fishing","M",21,24,0,0,0,1,1,7,99,0,NA,NA
18,"fishing","M",21,19,4,4,0,1,1,7,100,0,0,1
15,"inland","M",21,0,0,0,0,0,1,7,101,0,NA,NA
16,"inland","M",21,80,3,3,0,0,1,7,102,0,0,1
17,"inland","M",21,78,1,1,0,0,1,7,103,0,0,1
18,"inland","M",21,72,1,1,0,0,1,7,104,0,0,1
15,"fishing","F",21,23,23,19,0,1,0,7,105,4,0.173913043478261,0.826086956521739
16,"fishing","F",21,29,10,6,0,1,0,7,106,4,0.4,0.6
17,"fishing","F",21,35,14,4,0,1,0,7,107,10,0.714285714285714,0.285714285714286
18,"fishing","F",21,35,5,0,0,1,0,7,108,5,1,0
15,"inland","F",21,7,7,4,0,0,0,7,109,3,0.428571428571429,0.571428571428571
16,"inland","F",21,145,20,10,0,0,0,7,110,10,0.5,0.5
17,"inland","F",21,111,11,3,0,0,0,7,111,8,0.727272727272727,0.272727272727273
18,"inland","F",21,116,11,9,0,0,0,7,112,2,0.181818181818182,0.818181818181818
15,"fishing","M",22,10,10,6,0,1,1,8,113,4,0.4,0.6
16,"fishing","M",22,29,5,4,0,1,1,8,114,1,0.2,0.8
17,"fishing","M",22,30,1,1,0,1,1,8,115,0,0,1
18,"fishing","M",22,31,3,1,0,1,1,8,116,2,0.666666666666667,0.333333333333333
15,"inland","M",22,1,1,1,0,0,1,8,117,0,0,1
16,"inland","M",22,93,4,4,0,0,1,8,118,0,0,1
17,"inland","M",22,57,3,3,0,0,1,8,119,0,0,1
18,"inland","M",22,70,1,0,0,0,1,8,120,1,1,0
15,"fishing","F",22,22,22,15,0,1,0,8,121,7,0.318181818181818,0.681818181818182
16,"fishing","F",22,25,8,5,0,1,0,8,122,3,0.375,0.625
17,"fishing","F",22,43,19,8,0,1,0,8,123,11,0.578947368421053,0.421052631578947
18,"fishing","F",22,46,15,3,0,1,0,8,124,12,0.8,0.2
15,"inland","F",22,1,1,0,0,0,0,8,125,1,1,0
16,"inland","F",22,148,17,9,0,0,0,8,126,8,0.470588235294118,0.529411764705882
17,"inland","F",22,122,15,9,0,0,0,8,127,6,0.4,0.6
18,"inland","F",22,90,7,6,0,0,0,8,128,1,0.142857142857143,0.857142857142857
15,"fishing","M",23,15,15,13,0,1,1,9,129,2,0.133333333333333,0.866666666666667
16,"fishing","M",23,20,4,3,0,1,1,9,130,1,0.25,0.75
17,"fishing","M",23,17,2,1,0,1,1,9,131,1,0.5,0.5
18,"fishing","M",23,39,1,1,0,1,1,9,132,0,0,1
15,"inland","M",23,2,2,1,0,0,1,9,133,1,0.5,0.5
16,"inland","M",23,81,1,1,0,0,1,9,134,0,0,1
17,"inland","M",23,68,3,3,0,0,1,9,135,0,0,1
18,"inland","M",23,66,3,2,0,0,1,9,136,1,0.333333333333333,0.666666666666667
15,"fishing","F",23,42,42,26,0,1,0,9,137,16,0.380952380952381,0.619047619047619
16,"fishing","F",23,34,11,7,0,1,0,9,138,4,0.363636363636364,0.636363636363636
17,"fishing","F",23,36,13,6,0,1,0,9,139,7,0.538461538461538,0.461538461538462
18,"fishing","F",23,44,11,4,0,1,0,9,140,7,0.636363636363636,0.363636363636364
15,"inland","F",23,3,3,3,0,0,0,9,141,0,0,1
16,"inland","F",23,130,18,9,0,0,0,9,142,9,0.5,0.5
17,"inland","F",23,122,17,9,0,0,0,9,143,8,0.470588235294118,0.529411764705882
18,"inland","F",23,109,12,3,0,0,0,9,144,9,0.75,0.25
15,"fishing","M",24,25,25,22,0,1,1,10,145,3,0.12,0.88
16,"fishing","M",24,25,5,5,0,1,1,10,146,0,0,1
17,"fishing","M",24,27,3,3,0,1,1,10,147,0,0,1
18,"fishing","M",24,25,0,0,0,1,1,10,148,0,NA,NA
15,"inland","M",24,1,1,1,0,0,1,10,149,0,0,1
16,"inland","M",24,93,5,3,0,0,1,10,150,2,0.4,0.6
17,"inland","M",24,77,4,2,0,0,1,10,151,2,0.5,0.5
18,"inland","M",24,62,1,0,0,0,1,10,152,1,1,0
15,"fishing","F",24,24,24,19,0,1,0,10,153,5,0.208333333333333,0.791666666666667
16,"fishing","F",24,20,10,8,0,1,0,10,154,2,0.2,0.8
17,"fishing","F",24,34,13,8,0,1,0,10,155,5,0.384615384615385,0.615384615384615
18,"fishing","F",24,30,11,4,0,1,0,10,156,7,0.636363636363636,0.363636363636364
15,"inland","F",24,6,6,6,0,0,0,10,157,0,0,1
16,"inland","F",24,110,14,6,0,0,0,10,158,8,0.571428571428571,0.428571428571429
17,"inland","F",24,103,16,5,0,0,0,10,159,11,0.6875,0.3125
18,"inland","F",24,101,22,9,0,0,0,10,160,13,0.590909090909091,0.409090909090909
15,"fishing","M",25,39,39,29,0,1,1,11,161,10,0.256410256410256,0.743589743589744
16,"fishing","M",25,21,1,0,0,1,1,11,162,1,1,0
17,"fishing","M",25,33,6,5,0,1,1,11,163,1,0.166666666666667,0.833333333333333
18,"fishing","M",25,35,9,6,0,1,1,11,164,3,0.333333333333333,0.666666666666667
15,"inland","M",25,4,4,4,0,0,1,11,165,0,0,1
16,"inland","M",25,100,7,3,0,0,1,11,166,4,0.571428571428571,0.428571428571429
17,"inland","M",25,83,3,2,0,0,1,11,167,1,0.333333333333333,0.666666666666667
18,"inland","M",25,49,2,2,0,0,1,11,168,0,0,1
15,"fishing","F",25,56,56,36,0,1,0,11,169,20,0.357142857142857,0.642857142857143
16,"fishing","F",25,24,12,8,0,1,0,11,170,4,0.333333333333333,0.666666666666667
17,"fishing","F",25,37,20,6,0,1,0,11,171,14,0.7,0.3
18,"fishing","F",25,31,10,3,0,1,0,11,172,7,0.7,0.3
15,"inland","F",25,8,8,5,0,0,0,11,173,3,0.375,0.625
16,"inland","F",25,94,16,6,0,0,0,11,174,10,0.625,0.375
17,"inland","F",25,105,24,9,0,0,0,11,175,15,0.625,0.375
18,"inland","F",25,65,11,5,0,0,0,11,176,6,0.545454545454545,0.454545454545455
15,"fishing","M",26,24,24,22,0,1,1,12,177,2,0.0833333333333333,0.916666666666667
16,"fishing","M",26,21,6,6,0,1,1,12,178,0,0,1
17,"fishing","M",26,20,5,3,0,1,1,12,179,2,0.4,0.6
18,"fishing","M",26,29,3,1,0,1,1,12,180,2,0.666666666666667,0.333333333333333
15,"inland","M",26,1,1,0,0,0,1,12,181,1,1,0
16,"inland","M",26,69,4,3,0,0,1,12,182,1,0.25,0.75
17,"inland","M",26,59,3,3,0,0,1,12,183,0,0,1
18,"inland","M",26,49,2,2,0,0,1,12,184,0,0,1
15,"fishing","F",26,40,40,31,0,1,0,12,185,9,0.225,0.775
16,"fishing","F",26,31,14,9,0,1,0,12,186,5,0.357142857142857,0.642857142857143
17,"fishing","F",26,39,16,7,0,1,0,12,187,9,0.5625,0.4375
18,"fishing","F",26,27,15,3,0,1,0,12,188,12,0.8,0.2
15,"inland","F",26,2,2,2,0,0,0,12,189,0,0,1
16,"inland","F",26,89,12,4,0,0,0,12,190,8,0.666666666666667,0.333333333333333
17,"inland","F",26,62,21,9,0,0,0,12,191,12,0.571428571428571,0.428571428571429
18,"inland","F",26,63,7,3,0,0,0,12,192,4,0.571428571428571,0.428571428571429
15,"fishing","M",27,30,30,23,0,1,1,13,193,7,0.233333333333333,0.766666666666667
16,"fishing","M",27,27,8,7,0,1,1,13,194,1,0.125,0.875
17,"fishing","M",27,20,6,5,0,1,1,13,195,1,0.166666666666667,0.833333333333333
18,"fishing","M",27,33,11,3,0,1,1,13,196,8,0.727272727272727,0.272727272727273
15,"inland","M",27,2,2,2,0,0,1,13,197,0,0,1
16,"inland","M",27,61,6,5,0,0,1,13,198,1,0.166666666666667,0.833333333333333
17,"inland","M",27,52,5,2,0,0,1,13,199,3,0.6,0.4
18,"inland","M",27,44,1,1,0,0,1,13,200,0,0,1
15,"fishing","F",27,57,57,38,0,1,0,13,201,19,0.333333333333333,0.666666666666667
16,"fishing","F",27,23,14,7,0,1,0,13,202,7,0.5,0.5
17,"fishing","F",27,28,14,3,0,1,0,13,203,11,0.785714285714286,0.214285714285714
18,"fishing","F",27,36,17,4,0,1,0,13,204,13,0.764705882352941,0.235294117647059
15,"inland","F",27,5,5,4,0,0,0,13,205,1,0.2,0.8
16,"inland","F",27,90,19,10,0,0,0,13,206,9,0.473684210526316,0.526315789473684
17,"inland","F",27,71,16,3,0,0,0,13,207,13,0.8125,0.1875
18,"inland","F",27,66,13,3,0,0,0,13,208,10,0.769230769230769,0.230769230769231
15,"fishing","M",28,39,39,32,0,1,1,14,209,7,0.179487179487179,0.82051282051282
16,"fishing","M",28,17,6,6,0,1,1,14,210,0,0,1
17,"fishing","M",28,31,11,8,0,1,1,14,211,3,0.272727272727273,0.727272727272727
18,"fishing","M",28,35,8,3,0,1,1,14,212,5,0.625,0.375
15,"inland","M",28,3,3,3,0,0,1,14,213,0,0,1
16,"inland","M",28,72,8,6,0,0,1,14,214,2,0.25,0.75
17,"inland","M",28,47,7,4,0,0,1,14,215,3,0.428571428571429,0.571428571428571
18,"inland","M",28,43,4,1,0,0,1,14,216,3,0.75,0.25
15,"fishing","F",28,49,49,32,0,1,0,14,217,17,0.346938775510204,0.653061224489796
16,"fishing","F",28,30,12,6,0,1,0,14,218,6,0.5,0.5
17,"fishing","F",28,29,15,3,0,1,0,14,219,12,0.8,0.2
18,"fishing","F",28,26,17,4,0,1,0,14,220,13,0.764705882352941,0.235294117647059
15,"inland","F",28,6,6,3,0,0,0,14,221,3,0.5,0.5
16,"inland","F",28,91,15,7,0,0,0,14,222,8,0.533333333333333,0.466666666666667
17,"inland","F",28,67,14,4,0,0,0,14,223,10,0.714285714285714,0.285714285714286
18,"inland","F",28,63,8,3,0,0,0,14,224,5,0.625,0.375
15,"fishing","M",29,38,38,33,0,1,1,15,225,5,0.131578947368421,0.868421052631579
16,"fishing","M",29,13,2,1,0,1,1,15,226,1,0.5,0.5
17,"fishing","M",29,22,8,3,0,1,1,15,227,5,0.625,0.375
18,"fishing","M",29,21,8,2,0,1,1,15,228,6,0.75,0.25
15,"inland","M",29,4,4,4,0,0,1,15,229,0,0,1
16,"inland","M",29,41,3,2,0,0,1,15,230,1,0.333333333333333,0.666666666666667
17,"inland","M",29,39,5,4,0,0,1,15,231,1,0.2,0.8
18,"inland","M",29,38,4,1,0,0,1,15,232,3,0.75,0.25
15,"fishing","F",29,47,47,27,0,1,0,15,233,20,0.425531914893617,0.574468085106383
16,"fishing","F",29,25,10,5,0,1,0,15,234,5,0.5,0.5
17,"fishing","F",29,30,12,4,0,1,0,15,235,8,0.666666666666667,0.333333333333333
18,"fishing","F",29,25,14,3,0,1,0,15,236,11,0.785714285714286,0.214285714285714
15,"inland","F",29,6,6,3,0,0,0,15,237,3,0.5,0.5
16,"inland","F",29,60,14,10,0,0,0,15,238,4,0.285714285714286,0.714285714285714
17,"inland","F",29,75,19,4,0,0,0,15,239,15,0.789473684210526,0.210526315789474
18,"inland","F",29,46,9,1,0,0,0,15,240,8,0.888888888888889,0.111111111111111
15,"fishing","M",30,43,43,28,0,1,1,16,241,15,0.348837209302326,0.651162790697674
16,"fishing","M",30,31,10,8,0,1,1,16,242,2,0.2,0.8
17,"fishing","M",30,19,9,4,0,1,1,16,243,5,0.555555555555556,0.444444444444444
18,"fishing","M",30,32,5,2,0,1,1,16,244,3,0.6,0.4
15,"inland","M",30,0,0,0,0,0,1,16,245,0,NA,NA
16,"inland","M",30,69,8,5,0,0,1,16,246,3,0.375,0.625
17,"inland","M",30,38,7,3,0,0,1,16,247,4,0.571428571428571,0.428571428571429
18,"inland","M",30,37,4,1,0,0,1,16,248,3,0.75,0.25
15,"fishing","F",30,53,53,38,0,1,0,16,249,15,0.283018867924528,0.716981132075472
16,"fishing","F",30,19,9,4,0,1,0,16,250,5,0.555555555555556,0.444444444444444
17,"fishing","F",30,25,15,5,0,1,0,16,251,10,0.666666666666667,0.333333333333333
18,"fishing","F",30,25,16,4,0,1,0,16,252,12,0.75,0.25
15,"inland","F",30,6,6,4,0,0,0,16,253,2,0.333333333333333,0.666666666666667
16,"inland","F",30,71,14,5,0,0,0,16,254,9,0.642857142857143,0.357142857142857
17,"inland","F",30,62,19,6,0,0,0,16,255,13,0.684210526315789,0.315789473684211
18,"inland","F",30,67,17,8,0,0,0,16,256,9,0.529411764705882,0.470588235294118
15,"fishing","M",31,32,32,22,0,1,1,17,257,10,0.3125,0.6875
16,"fishing","M",31,19,3,2,0,1,1,17,258,1,0.333333333333333,0.666666666666667
17,"fishing","M",31,21,4,3,0,1,1,17,259,1,0.25,0.75
18,"fishing","M",31,25,9,1,0,1,1,17,260,8,0.888888888888889,0.111111111111111
15,"inland","M",31,0,0,0,0,0,1,17,261,0,NA,NA
16,"inland","M",31,40,5,5,0,0,1,17,262,0,0,1
17,"inland","M",31,33,5,3,0,0,1,17,263,2,0.4,0.6
18,"inland","M",31,40,6,2,0,0,1,17,264,4,0.666666666666667,0.333333333333333
15,"fishing","F",31,37,37,23,0,1,0,17,265,14,0.378378378378378,0.621621621621622
16,"fishing","F",31,17,8,2,0,1,0,17,266,6,0.75,0.25
17,"fishing","F",31,15,7,1,0,1,0,17,267,6,0.857142857142857,0.142857142857143
18,"fishing","F",31,15,9,2,0,1,0,17,268,7,0.777777777777778,0.222222222222222
15,"inland","F",31,3,3,2,0,0,0,17,269,1,0.333333333333333,0.666666666666667
16,"inland","F",31,52,14,3,0,0,0,17,270,11,0.785714285714286,0.214285714285714
17,"inland","F",31,41,10,1,0,0,0,17,271,9,0.9,0.1
18,"inland","F",31,35,6,1,0,0,0,17,272,5,0.833333333333333,0.166666666666667
15,"fishing","M",32,53,53,38,0,1,1,18,273,15,0.283018867924528,0.716981132075472
16,"fishing","M",32,20,10,9,0,1,1,18,274,1,0.1,0.9
17,"fishing","M",32,20,9,3,0,1,1,18,275,6,0.666666666666667,0.333333333333333
18,"fishing","M",32,26,8,3,0,1,1,18,276,5,0.625,0.375
15,"inland","M",32,3,3,2,0,0,1,18,277,1,0.333333333333333,0.666666666666667
16,"inland","M",32,48,11,5,0,0,1,18,278,6,0.545454545454545,0.454545454545455
