"ROUND","SEX","AGEYRS","SENS_M","SPEC_M"
"R015","F",15,0.821428571428571,0.75
"R015","F",16,0.821428571428571,0.75
"R015","F",17,0.821428571428571,0.75
"R015","F",18,0.821428571428571,0.75
"R015","F",19,0.821428571428571,0.75
"R015","F",20,0.818308950086059,0.759868421052632
"R015","F",21,0.812069707401033,0.779605263157895
"R015","F",22,0.805830464716007,0.799342105263158
"R015","F",23,0.799591222030981,0.819078947368421
"R015","F",24,0.793351979345955,0.838815789473684
"R015","F",25,0.787112736660929,0.858552631578947
"R015","F",26,0.780873493975904,0.878289473684211
"R015","F",27,0.774634251290878,0.898026315789474
"R015","F",28,0.768395008605852,0.917763157894737
"R015","F",29,0.762155765920826,0.9375
"R015","F",30,0.753772738010867,0.947771556550952
"R015","F",31,0.743245924875975,0.948577827547592
"R015","F",32,0.732719111741082,0.949384098544233
"R015","F",33,0.722192298606189,0.950190369540873
"R015","F",34,0.711665485471297,0.950996640537514
"R015","F",35,0.701138672336404,0.951802911534155
"R015","F",36,0.690611859201512,0.952609182530795
"R015","F",37,0.680085046066619,0.953415453527436
"R015","F",38,0.669558232931727,0.954221724524076
"R015","F",39,0.659031419796834,0.955027995520717
"R015","F",40,0.648504606661942,0.955834266517357
"R015","F",41,0.637977793527049,0.956640537513998
"R015","F",42,0.627450980392157,0.957446808510638
"R015","F",43,0.627450980392157,0.957446808510638
"R015","F",44,0.627450980392157,0.957446808510638
"R015","F",45,0.627450980392157,0.957446808510638
"R015","F",46,0.627450980392157,0.957446808510638
"R015","F",47,0.627450980392157,0.957446808510638
"R015","F",48,0.627450980392157,0.957446808510638
"R015","F",49,0.627450980392157,0.957446808510638
"R015","M",15,0.909090909090909,0.8
"R015","M",16,0.909090909090909,0.8
"R015","M",17,0.909090909090909,0.8
"R015","M",18,0.909090909090909,0.8
"R015","M",19,0.909090909090909,0.8
"R015","M",20,0.905473098330241,0.81
"R015","M",21,0.898237476808905,0.83
"R015","M",22,0.89100185528757,0.85
"R015","M",23,0.883766233766234,0.87
"R015","M",24,0.876530612244898,0.89
"R015","M",25,0.869294990723562,0.91
"R015","M",26,0.862059369202226,0.93
"R015","M",27,0.854823747680891,0.95
"R015","M",28,0.847588126159555,0.97
"R015","M",29,0.840352504638219,0.99
"R015","M",30,0.832598639455782,0.998181818181818
"R015","M",31,0.824326530612245,0.994545454545455
"R015","M",32,0.816054421768707,0.990909090909091
"R015","M",33,0.80778231292517,0.987272727272727
"R015","M",34,0.799510204081633,0.983636363636364
"R015","M",35,0.791238095238095,0.98
"R015","M",36,0.782965986394558,0.976363636363636
"R015","M",37,0.77469387755102,0.972727272727273
"R015","M",38,0.766421768707483,0.969090909090909
"R015","M",39,0.758149659863946,0.965454545454545
"R015","M",40,0.749877551020408,0.961818181818182
"R015","M",41,0.741605442176871,0.958181818181818
"R015","M",42,0.733333333333333,0.954545454545455
"R015","M",43,0.733333333333333,0.954545454545455
"R015","M",44,0.733333333333333,0.954545454545455
"R015","M",45,0.733333333333333,0.954545454545455
"R015","M",46,0.733333333333333,0.954545454545455
"R015","M",47,0.733333333333333,0.954545454545455
"R015","M",48,0.733333333333333,0.954545454545455
"R015","M",49,0.733333333333333,0.954545454545455
"R016","F",15,0.701612903225806,0.848484848484849
"R016","F",16,0.701612903225806,0.848484848484849
"R016","F",17,0.701612903225806,0.848484848484849
"R016","F",18,0.701612903225806,0.848484848484849
"R016","F",19,0.701612903225806,0.848484848484849
"R016","F",20,0.700460829493088,0.851654475792407
"R016","F",21,0.69815668202765,0.857993730407524
"R016","F",22,0.695852534562212,0.86433298502264
"R016","F",23,0.693548387096774,0.870672239637757
"R016","F",24,0.691244239631336,0.877011494252874
"R016","F",25,0.688940092165899,0.88335074886799
"R016","F",26,0.686635944700461,0.889690003483107
"R016","F",27,0.684331797235023,0.896029258098224
"R016","F",28,0.682027649769585,0.90236851271334
"R016","F",29,0.679723502304147,0.908707767328457
"R016","F",30,0.676398268398268,0.913839798850575
"R016","F",31,0.672051948051948,0.917764607279694
"R016","F",32,0.667705627705628,0.921689415708812
"R016","F",33,0.663359307359307,0.925614224137931
"R016","F",34,0.659012987012987,0.92953903256705
"R016","F",35,0.654666666666667,0.933463840996169
"R016","F",36,0.650320346320346,0.937388649425287
"R016","F",37,0.645974025974026,0.941313457854406
"R016","F",38,0.641627705627706,0.945238266283525
"R016","F",39,0.637281385281385,0.949163074712644
"R016","F",40,0.632935064935065,0.953087883141762
"R016","F",41,0.628588744588745,0.957012691570881
"R016","F",42,0.624242424242424,0.9609375
"R016","F",43,0.624242424242424,0.9609375
"R016","F",44,0.624242424242424,0.9609375
"R016","F",45,0.624242424242424,0.9609375
"R016","F",46,0.624242424242424,0.9609375
"R016","F",47,0.624242424242424,0.9609375
"R016","F",48,0.624242424242424,0.9609375
"R016","F",49,0.624242424242424,0.9609375
"R016","M",15,0.864864864864865,0.8
"R016","M",16,0.864864864864865,0.8
"R016","M",17,0.864864864864865,0.8
"R016","M",18,0.864864864864865,0.8
"R016","M",19,0.864864864864865,0.8
"R016","M",20,0.864268680445151,0.804871794871795
"R016","M",21,0.863076311605723,0.814615384615385
"R016","M",22,0.861883942766296,0.824358974358974
"R016","M",23,0.860691573926868,0.834102564102564
"R016","M",24,0.85949920508744,0.843846153846154
"R016","M",25,0.858306836248013,0.853589743589744
"R016","M",26,0.857114467408585,0.863333333333333
"R016","M",27,0.855922098569157,0.873076923076923
"R016","M",28,0.85472972972973,0.882820512820513
"R016","M",29,0.853537360890302,0.892564102564103
"R016","M",30,0.848064908722109,0.898121376111326
"R016","M",31,0.838312373225152,0.899492333462183
"R016","M",32,0.828559837728195,0.90086329081304
"R016","M",33,0.818807302231237,0.902234248163896
"R016","M",34,0.80905476673428,0.903605205514753
"R016","M",35,0.799302231237322,0.90497616286561
"R016","M",36,0.789549695740365,0.906347120216467
"R016","M",37,0.779797160243408,0.907718077567324
"R016","M",38,0.77004462474645,0.909089034918181
"R016","M",39,0.760292089249493,0.910459992269038
"R016","M",40,0.750539553752535,0.911830949619894
"R016","M",41,0.740787018255578,0.913201906970751
"R016","M",42,0.731034482758621,0.914572864321608
"R016","M",43,0.731034482758621,0.914572864321608
"R016","M",44,0.731034482758621,0.914572864321608
"R016","M",45,0.731034482758621,0.914572864321608
"R016","M",46,0.731034482758621,0.914572864321608
"R016","M",47,0.731034482758621,0.914572864321608
"R016","M",48,0.731034482758621,0.914572864321608
"R016","M",49,0.731034482758621,0.914572864321608
"R017","F",15,0.694736842105263,0.836363636363636
"R017","F",16,0.694736842105263,0.836363636363636
"R017","F",17,0.694736842105263,0.836363636363636
"R017","F",18,0.694736842105263,0.836363636363636
"R017","F",19,0.694736842105263,0.836363636363636
"R017","F",20,0.691151832460733,0.840353837778987
"R017","F",21,0.683981813171673,0.84833424060969
"R017","F",22,0.676811793882612,0.856314643440392
"R017","F",23,0.669641774593552,0.864295046271094
"R017","F",24,0.662471755304492,0.872275449101796
"R017","F",25,0.655301736015431,0.880255851932499
"R017","F",26,0.648131716726371,0.888236254763201
"R017","F",27,0.640961697437311,0.896216657593903
"R017","F",28,0.63379167814825,0.904197060424605
"R017","F",29,0.62662165885919,0.912177463255308
"R017","F",30,0.61678184991274,0.918247549844132
"R017","F",31,0.604272251308901,0.922407320191079
"R017","F",32,0.591762652705061,0.926567090538025
"R017","F",33,0.579253054101222,0.930726860884972
"R017","F",34,0.566743455497382,0.934886631231918
"R017","F",35,0.554233856893543,0.939046401578865
"R017","F",36,0.541724258289703,0.943206171925811
"R017","F",37,0.529214659685864,0.947365942272758
"R017","F",38,0.516705061082024,0.951525712619704
"R017","F",39,0.504195462478185,0.955685482966651
"R017","F",40,0.491685863874346,0.959845253313598
"R017","F",41,0.479176265270506,0.964005023660544
"R017","F",42,0.466666666666667,0.968164794007491
"R017","F",43,0.466666666666667,0.968164794007491
"R017","F",44,0.466666666666667,0.968164794007491
"R017","F",45,0.466666666666667,0.968164794007491
"R017","F",46,0.466666666666667,0.968164794007491
"R017","F",47,0.466666666666667,0.968164794007491
"R017","F",48,0.466666666666667,0.968164794007491
"R017","F",49,0.466666666666667,0.968164794007491
"R017","M",15,0.888888888888889,0.846153846153846
"R017","M",16,0.888888888888889,0.846153846153846
"R017","M",17,0.888888888888889,0.846153846153846
"R017","M",18,0.888888888888889,0.846153846153846
"R017","M",19,0.888888888888889,0.846153846153846
"R017","M",20,0.885038503850385,0.84956043956044
"R017","M",21,0.877337733773377,0.856373626373626
"R017","M",22,0.86963696369637,0.863186813186813
"R017","M",23,0.861936193619362,0.87
"R017","M",24,0.854235423542354,0.876813186813187
"R017","M",25,0.846534653465347,0.883626373626374
"R017","M",26,0.838833883388339,0.89043956043956
"R017","M",27,0.831133113311331,0.897252747252747
"R017","M",28,0.823432343234323,0.904065934065934
"R017","M",29,0.815731573157316,0.910879120879121
"R017","M",30,0.806813348001467,0.914857142857143
"R017","M",31,0.796677667766777,0.916
"R017","M",32,0.786541987532087,0.917142857142857
"R017","M",33,0.776406307297396,0.918285714285714
"R017","M",34,0.766270627062706,0.919428571428571
"R017","M",35,0.756134946828016,0.920571428571429
"R017","M",36,0.745999266593326,0.921714285714286
"R017","M",37,0.735863586358636,0.922857142857143
"R017","M",38,0.725727906123946,0.924
"R017","M",39,0.715592225889256,0.925142857142857
"R017","M",40,0.705456545654566,0.926285714285714
"R017","M",41,0.695320865419875,0.927428571428571
"R017","M",42,0.685185185185185,0.928571428571429
"R017","M",43,0.685185185185185,0.928571428571429
"R017","M",44,0.685185185185185,0.928571428571429
"R017","M",45,0.685185185185185,0.928571428571429
"R017","M",46,0.685185185185185,0.928571428571429
"R017","M",47,0.685185185185185,0.928571428571429
"R017","M",48,0.685185185185185,0.928571428571429
"R017","M",49,0.685185185185185,0.928571428571429
"R018","F",15,0.722222222222222,0.873563218390805
"R018","F",16,0.722222222222222,0.873563218390805
"R018","F",17,0.722222222222222,0.873563218390805
"R018","F",18,0.722222222222222,0.873563218390805
"R018","F",19,0.722222222222222,0.873563218390805
"R018","F",20,0.715421455938697,0.875926113189739
"R018","F",21,0.701819923371647,0.880651902787609
"R018","F",22,0.688218390804598,0.885377692385479
"R018","F",23,0.674616858237548,0.890103481983349
"R018","F",24,0.661015325670498,0.894829271581218
"R018","F",25,0.647413793103448,0.899555061179088
"R018","F",26,0.633812260536398,0.904280850776958
"R018","F",27,0.620210727969349,0.909006640374827
"R018","F",28,0.606609195402299,0.913732429972697
"R018","F",29,0.593007662835249,0.918458219570567
"R018","F",30,0.580596458527493,0.9229555675572
"R018","F",31,0.569375582479031,0.927224473932597
"R018","F",32,0.558154706430568,0.931493380307994
"R018","F",33,0.546933830382106,0.93576228668339
"R018","F",34,0.535712954333644,0.940031193058787
"R018","F",35,0.524492078285182,0.944300099434184
"R018","F",36,0.513271202236719,0.948569005809581
"R018","F",37,0.502050326188257,0.952837912184978
"R018","F",38,0.490829450139795,0.957106818560375
"R018","F",39,0.479608574091333,0.961375724935772
"R018","F",40,0.46838769804287,0.965644631311168
"R018","F",41,0.457166821994408,0.969913537686565
"R018","F",42,0.445945945945946,0.974182444061962
"R018","F",43,0.445945945945946,0.974182444061962
"R018","F",44,0.445945945945946,0.974182444061962
"R018","F",45,0.445945945945946,0.974182444061962
"R018","F",46,0.445945945945946,0.974182444061962
"R018","F",47,0.445945945945946,0.974182444061962
"R018","F",48,0.445945945945946,0.974182444061962
"R018","F",49,0.445945945945946,0.974182444061962
"R018","M",15,0.952380952380952,0.733333333333333
"R018","M",16,0.952380952380952,0.733333333333333
"R018","M",17,0.952380952380952,0.733333333333333
"R018","M",18,0.952380952380952,0.733333333333333
"R018","M",19,0.952380952380952,0.733333333333333
"R018","M",20,0.945268233875829,0.74
"R018","M",21,0.931042796865582,0.753333333333333
"R018","M",22,0.916817359855335,0.766666666666667
"R018","M",23,0.902591922845087,0.78
"R018","M",24,0.88836648583484,0.793333333333333
"R018","M",25,0.874141048824593,0.806666666666667
"R018","M",26,0.859915611814346,0.82
"R018","M",27,0.845690174804099,0.833333333333333
"R018","M",28,0.831464737793852,0.846666666666667
"R018","M",29,0.817239300783605,0.86
"R018","M",30,0.808169280181372,0.869808219178082
"R018","M",31,0.804254675987153,0.876091324200913
"R018","M",32,0.800340071792934,0.882374429223744
"R018","M",33,0.796425467598715,0.888657534246575
"R018","M",34,0.792510863404497,0.894940639269406
"R018","M",35,0.788596259210278,0.901223744292238
"R018","M",36,0.784681655016059,0.907506849315069
"R018","M",37,0.78076705082184,0.9137899543379
"R018","M",38,0.776852446627621,0.920073059360731
"R018","M",39,0.772937842433403,0.926356164383562
"R018","M",40,0.769023238239184,0.932639269406393
"R018","M",41,0.765108634044965,0.938922374429224
"R018","M",42,0.761194029850746,0.945205479452055
"R018","M",43,0.761194029850746,0.945205479452055
"R018","M",44,0.761194029850746,0.945205479452055
"R018","M",45,0.761194029850746,0.945205479452055
"R018","M",46,0.761194029850746,0.945205479452055
"R018","M",47,0.761194029850746,0.945205479452055
"R018","M",48,0.761194029850746,0.945205479452055
"R018","M",49,0.761194029850746,0.945205479452055
