"ROUND","COMM","SEX","AGE_GROUP","PREVALENCE_AGE_GROUP_CL","PREVALENCE_AGE_GROUP_CU","PREVALENCE_AGE_GROUP_M"
"10","inland","F","15-24",0.0485160514233811,0.0701559374030367,0.0583202182305991
"10","inland","F","25-34",0.158944764285764,0.191997277979103,0.174677039293937
"10","inland","F","35-49",0.145945436317724,0.186764162853771,0.165924976096026
"10","inland","M","15-24",0.0134279050142571,0.0270373277980944,0.019063182608078
"10","inland","M","25-34",0.106529337056364,0.141242600398537,0.123092513841001
"10","inland","M","35-49",0.146904274052451,0.197769163049603,0.171404013495796
"11","inland","F","15-24",0.051514057513809,0.0734910364758814,0.0616737835972856
"11","inland","F","25-34",0.155916952576423,0.187188050573769,0.171679995492544
"11","inland","F","35-49",0.157838220530753,0.197949200493503,0.176954404036367
"11","inland","M","15-24",0.00977819395339372,0.0205528969495553,0.0143653234589388
"11","inland","M","25-34",0.105262744959388,0.138443502276499,0.121315943756788
"11","inland","M","35-49",0.147108841351433,0.192969795622126,0.16972209337018
"12","inland","F","15-24",0.0506144998787414,0.0711112339511213,0.0601287357695483
"12","inland","F","25-34",0.162275515699475,0.193404793775128,0.177632698990464
"12","inland","F","35-49",0.187767100132041,0.230591541893101,0.208900711283796
"12","inland","M","15-24",0.0112837177178553,0.0231430589931937,0.0164210915648065
"12","inland","M","25-34",0.106558940288222,0.141193383567762,0.123201321268989
"12","inland","M","35-49",0.142821919729018,0.186576409529082,0.164409091994906
"13","inland","F","15-24",0.0452563589480208,0.0658005288989728,0.0546200463247281
"13","inland","F","25-34",0.158329748750792,0.19071105490202,0.174103345867811
"13","inland","F","35-49",0.201478287107566,0.244879085974766,0.222653317270181
"13","inland","M","15-24",0.012487189346683,0.0255500451458758,0.0181204594058076
"13","inland","M","25-34",0.111226260653073,0.146571819558372,0.127837588940633
"13","inland","M","35-49",0.161573488146937,0.204143374042366,0.182566643732636
"14","inland","F","15-24",0.0469743925636071,0.0656595270586863,0.0557271625405953
"14","inland","F","25-34",0.165551264642558,0.197270492242114,0.181155862810273
"14","inland","F","35-49",0.218871020479341,0.260063634124763,0.239286780617032
"14","inland","M","15-24",0.0158546239624159,0.0291328149440114,0.0216964050823063
"14","inland","M","25-34",0.10990464072894,0.143093749506668,0.125641832550175
"14","inland","M","35-49",0.157774902602465,0.198949278327664,0.177863835204797
"15","fishing","F","15-24",0.262504543804916,0.335869960901844,0.29806840513701
"15","fishing","F","25-34",0.532516206556022,0.592808223812873,0.562339807094371
"15","fishing","F","35-49",0.502199698801203,0.585305175207797,0.543912816184852
"15","fishing","M","15-24",0.107558902818344,0.161197685278988,0.132418207729329
"15","fishing","M","25-34",0.368072075244669,0.428402116913397,0.397464004739997
"15","fishing","M","35-49",0.371918328710418,0.442813921693022,0.407246017833178
"15","inland","F","15-24",0.0569464146756152,0.0736885141978952,0.0650059534938192
"15","inland","F","25-34",0.182833102162217,0.210957917613282,0.196864243937444
"15","inland","F","35-49",0.234944337237316,0.270700562890693,0.252704068762165
"15","inland","M","15-24",0.0199309372965394,0.031175801645431,0.0251194475991597
"15","inland","M","25-34",0.116629796173766,0.143666616325281,0.129920027375884
"15","inland","M","35-49",0.17072820029391,0.204864826055751,0.187203775710789
"16","fishing","F","15-24",0.240304039692222,0.313552573419552,0.276253936937197
"16","fishing","F","25-34",0.473213297213049,0.534021733209899,0.503491682995868
"16","fishing","F","35-49",0.508179568409025,0.588204160156824,0.548256740569091
"16","fishing","M","15-24",0.0762109846621118,0.123718618123044,0.0974109872843111
"16","fishing","M","25-34",0.329735952409455,0.389920758811527,0.358923462573816
"16","fishing","M","35-49",0.378753473356964,0.447256956618649,0.412870568085818
"16","inland","F","15-24",0.045203775918231,0.0595350395592197,0.0519733975714662
"16","inland","F","25-34",0.173124892190191,0.201277484097417,0.18681340654994
"16","inland","F","35-49",0.227293463265271,0.260280348485492,0.243444999764173
"16","inland","M","15-24",0.0127021177331493,0.0217358066384668,0.0166699267748454
"16","inland","M","25-34",0.0993086803981154,0.125995021481578,0.112269658920781
"16","inland","M","35-49",0.164461959505698,0.196850839559946,0.180093039950413
"17","fishing","F","15-24",0.201244960496352,0.263999936144953,0.231486302164277
"17","fishing","F","25-34",0.454808480614332,0.516597464790057,0.486190679297651
"17","fishing","F","35-49",0.496580112327766,0.572114730244959,0.534641687197599
"17","fishing","M","15-24",0.0400488542285353,0.0782144089569751,0.0569267870380498
"17","fishing","M","25-34",0.312377061002646,0.37061134167175,0.340652129099765
"17","fishing","M","35-49",0.4039621936508,0.468970251123335,0.436402538418378
"17","inland","F","15-24",0.0476039852298252,0.062280342241097,0.0545936710016804
"17","inland","F","25-34",0.177680389928994,0.205264690880687,0.19117139306066
"17","inland","F","35-49",0.231475307336958,0.263138605502825,0.247274548222278
"17","inland","M","15-24",0.00821203639956224,0.0152101756396166,0.0113741075073424
"17","inland","M","25-34",0.0938205288598241,0.119474098944888,0.106112517165443
"17","inland","M","35-49",0.15858815044241,0.189456316355927,0.173711408726205
"18","fishing","F","15-24",0.163178800023973,0.218482665329111,0.189272338522441
"18","fishing","F","25-34",0.443169375757841,0.500927032666632,0.472314384027318
"18","fishing","F","35-49",0.514062457926894,0.582568015013857,0.548444983327487
"18","fishing","M","15-24",0.0315561993954522,0.0611832884049955,0.0447669414241135
"18","fishing","M","25-34",0.293310491826786,0.347467342659247,0.320085757158348
"18","fishing","M","35-49",0.423952310576772,0.483625687187971,0.453928302912164
"18","inland","F","15-24",0.0348576437503963,0.0477899300136044,0.041014024016487
"18","inland","F","25-34",0.161156442458867,0.187805986922902,0.174157562763282
"18","inland","F","35-49",0.2269727365563,0.256739043457028,0.241658738409738
"18","inland","M","15-24",0.00952669848681954,0.0175940149474322,0.0131812117075967
"18","inland","M","25-34",0.0801574785639509,0.104016666679477,0.0918228355936618
"18","inland","M","35-49",0.151133937259585,0.180756557160563,0.16558237623698
