"ROUND","COMM","SEX","AGE_GROUP","PROP_UNSUPPRESSED_AGE_GROUP_CL","PROP_UNSUPPRESSED_AGE_GROUP_CU","PROP_UNSUPPRESSED_AGE_GROUP_M"
"10","inland","F","15-24",0.0384244933068753,0.055887899556288,0.0463487295194613
"10","inland","F","25-34",0.109316808773406,0.133199455301828,0.120773389731301
"10","inland","F","35-49",0.0748351048955806,0.0980798317902787,0.0861059426364073
"10","inland","M","15-24",0.0117605113017178,0.0237522048627251,0.0167183652950257
"10","inland","M","25-34",0.0858393882577909,0.114223436906417,0.09935737813413
"10","inland","M","35-49",0.101148471796757,0.137014149995404,0.118529641960906
"11","inland","F","15-24",0.0408690448665493,0.05855922337734,0.0489714861656994
"11","inland","F","25-34",0.106810617544141,0.129310116731856,0.11804969863303
"11","inland","F","35-49",0.0801612506044645,0.103470138949,0.0913855493871271
"11","inland","M","15-24",0.00851697558394691,0.0181111650006891,0.012584772125828
"11","inland","M","25-34",0.0846543821659729,0.111856355069658,0.0978482013566949
"11","inland","M","35-49",0.10047994112979,0.132903446031667,0.11613960247112
"12","inland","F","15-24",0.0401150650137712,0.0567590713120004,0.0477777456516039
"12","inland","F","25-34",0.108359725787712,0.130463870874435,0.119313858499419
"12","inland","F","35-49",0.0884331604010284,0.112382073979773,0.100081830395203
"12","inland","M","15-24",0.00937704639772217,0.0193044783647189,0.0136573048552341
"12","inland","M","25-34",0.0806828512232029,0.108425305965987,0.0940198619853305
"12","inland","M","35-49",0.0852638534234268,0.114379010824589,0.0994811058804646
"13","inland","F","15-24",0.0354395124633343,0.0517741515435138,0.0429195842772429
"13","inland","F","25-34",0.100506515269906,0.123159108502404,0.111589658363679
"13","inland","F","35-49",0.0873748462917446,0.110166142491532,0.0982528716096559
"13","inland","M","15-24",0.0104690752090038,0.0215961242449922,0.0152394694673341
"13","inland","M","25-34",0.081853789348266,0.109772245913622,0.0948894574746261
"13","inland","M","35-49",0.086481004993403,0.116403793667003,0.100811581065227
"14","inland","F","15-24",0.0359096785318068,0.0504397568613796,0.042720123920439
"14","inland","F","25-34",0.102181038715609,0.123429378570004,0.112678776625289
"14","inland","F","35-49",0.0856345249655559,0.106973799903066,0.0958770739162318
"14","inland","M","15-24",0.013288798761319,0.0245236155716163,0.0182601457205449
"14","inland","M","25-34",0.0825229145409682,0.108464596321918,0.0949859281621384
"14","inland","M","35-49",0.0904543594744011,0.117652357645398,0.103831499055005
"15","fishing","F","15-24",0.192521043974205,0.254055561933645,0.22144587545381
"15","fishing","F","25-34",0.327786318537438,0.379369604016692,0.353642899922263
"15","fishing","F","35-49",0.223337724948443,0.286992026380437,0.254130525536188
"15","fishing","M","15-24",0.0884850838058292,0.136247810124305,0.110350767870398
"15","fishing","M","25-34",0.277929092671848,0.330333786654563,0.303701404955672
"15","fishing","M","35-49",0.246563175709593,0.305449154514901,0.275357452406257
"15","inland","F","15-24",0.036680931833513,0.0548936369223936,0.0456135381990069
"15","inland","F","25-34",0.107235031759506,0.140151647088452,0.123220187242985
"15","inland","F","35-49",0.0761083792641365,0.119468159289328,0.0969620184502426
"15","inland","M","15-24",0.0158054821779823,0.0269640941519234,0.0209736237910645
"15","inland","M","25-34",0.0838932003874931,0.113411171465186,0.0985383025049134
"15","inland","M","35-49",0.0916908897392918,0.13183016076882,0.111387715577685
"16","fishing","F","15-24",0.15394498548104,0.214024505334004,0.182645264958395
"16","fishing","F","25-34",0.198676658377914,0.246728878815233,0.222222603012999
"16","fishing","F","35-49",0.132332411443316,0.18930632161337,0.15914010839534
"16","fishing","M","15-24",0.065359452063645,0.109425602327474,0.0852011503225642
"16","fishing","M","25-34",0.231449226054602,0.287464804226019,0.258875793880699
"16","fishing","M","35-49",0.184707405855855,0.24705830611611,0.214893043749301
"16","inland","F","15-24",0.022928827195056,0.0325777686421537,0.0274158522857665
"16","inland","F","25-34",0.0623866668359846,0.0782812371129225,0.0698777783392392
"16","inland","F","35-49",0.0494595113268492,0.066220306793382,0.0575460870843994
"16","inland","M","15-24",0.00865675324172085,0.0159109046996013,0.0117844295193611
"16","inland","M","25-34",0.0579993846341411,0.0789178433074129,0.0678233117430108
"16","inland","M","35-49",0.0615298416579499,0.0835992974608957,0.0719424328793722
"17","fishing","F","15-24",0.0671542619982705,0.100666177613296,0.0824469853804548
"17","fishing","F","25-34",0.12401103538455,0.159870211367367,0.141630105873914
"17","fishing","F","35-49",0.0936493316994843,0.138182276843419,0.114668743844154
"17","fishing","M","15-24",0.0267044865093427,0.0583186569524653,0.0400158662200096
"17","fishing","M","25-34",0.159711429556238,0.207049096509223,0.18200622190461
"17","fishing","M","35-49",0.15938479192088,0.217404644156989,0.187948708007795
"17","inland","F","15-24",0.01808935148555,0.0264326683181995,0.0219769626670889
"17","inland","F","25-34",0.0481670783380427,0.0620790916026593,0.0549772266227604
"17","inland","F","35-49",0.0268118622516267,0.0388812072855657,0.0324562726171145
"17","inland","M","15-24",0.00468929866193699,0.00971889288225048,0.00685289821375662
"17","inland","M","25-34",0.0432495904251006,0.0610297779033677,0.0516632069118341
"17","inland","M","35-49",0.045667393703899,0.0647165832910326,0.0547679461862044
"18","fishing","F","15-24",0.0481452947731097,0.0804416991650504,0.0623587204087406
"18","fishing","F","25-34",0.0768648401649402,0.106756574322605,0.091116451921333
"18","fishing","F","35-49",0.0410396567565243,0.0733905185824908,0.0557571945455124
"18","fishing","M","15-24",0.0169706617153644,0.0390509098264387,0.0262222439032064
"18","fishing","M","25-34",0.0927121781839664,0.129932355129704,0.110143149466479
"18","fishing","M","35-49",0.0871740059408372,0.127189730350748,0.1059044283428
"18","inland","F","15-24",0.0126048049486096,0.0196595979257626,0.01589384086306
"18","inland","F","25-34",0.0371117020345608,0.0504215549818085,0.0433739953340986
"18","inland","F","35-49",0.0166104668094263,0.0273811635895265,0.0215116652836629
"18","inland","M","15-24",0.00617763283128366,0.0127150991541154,0.00901014186988685
"18","inland","M","25-34",0.03353593815196,0.0490117575725865,0.0408715102986845
"18","inland","M","35-49",0.031200780412528,0.0501847847955877,0.0399759831589437
